feature1	feature2	feature3	label
1.6	5.7	1.8	normal
2.9	5.5	0.1	botnet
9.7	4.5	3.4	normal
4.6	2.3	1.9	normal
0.6	4.2	7.1	botnet
5.9	3.9	2.1	botnet
3.2	9.6	1.1	normal
3.7	5.5	0.4	botnet
1.7	8.7	8.4	normal
0.7	3.3	9.8	normal
0.1	4.4	1.6	botnet
7.0	1.0	6.1	normal
0.8	8.8	9.9	normal
2.8	2.7	4.0	botnet
1.8	6.7	1.6	botnet
4.5	0.0	1.7	normal
8.8	8.1	0.2	botnet
3.4	4.5	8.5	normal
6.9	9.0	2.7	normal
1.8	0.8	8.7	botnet
1.0	2.7	7.0	normal
5.4	0.6	4.4	botnet
4.2	4.7	0.9	botnet
3.0	9.7	4.8	botnet
8.5	3.2	2.2	botnet
2.4	5.9	6.7	botnet
2.9	2.3	0.0	normal
9.1	3.9	5.6	botnet
1.8	6.4	3.6	normal
0.4	1.3	8.4	normal
1.0	8.7	7.1	normal
9.0	0.8	2.1	normal
7.7	6.5	1.0	botnet
7.6	1.5	6.3	botnet
9.0	2.7	3.0	normal
7.4	7.7	4.9	botnet
3.2	4.5	7.9	botnet
9.6	0.6	5.2	normal
6.6	3.5	7.5	normal
2.0	4.0	7.9	botnet
4.3	7.4	2.3	botnet
1.5	0.2	0.9	normal
1.9	7.0	5.7	botnet
0.9	4.1	1.4	botnet
7.2	2.3	5.6	normal
8.0	2.3	0.6	botnet
9.2	3.5	7.2	botnet
9.8	0.8	9.6	normal
0.2	2.5	0.8	botnet
8.6	7.9	8.2	botnet
8.4	6.4	4.0	normal
2.5	0.2	0.7	botnet
4.8	4.1	9.0	normal
8.6	5.2	7.1	normal
7.0	9.9	3.3	normal
5.1	2.9	3.6	botnet
4.0	2.7	8.3	botnet
2.8	0.2	5.2	botnet
7.0	2.1	9.4	normal
2.4	2.5	7.1	normal
5.8	5.8	0.2	normal
2.5	9.9	8.0	normal
4.9	8.3	3.2	botnet
8.4	4.4	3.4	botnet
5.6	3.5	4.8	normal
4.6	6.3	3.4	normal
5.6	0.8	1.5	botnet
9.1	1.1	2.0	normal
7.4	7.7	4.4	normal
8.3	0.4	4.6	botnet
4.5	8.4	0.7	botnet
1.1	0.6	6.6	normal
2.8	0.6	3.7	normal
5.0	7.4	9.7	botnet
2.2	1.2	0.2	normal
1.1	5.1	3.0	normal
4.6	6.7	2.8	normal
7.7	4.3	3.4	botnet
2.4	9.2	2.6	normal
7.4	3.5	3.7	botnet
3.4	5.2	0.2	botnet
9.4	2.5	2.5	botnet
8.8	0.4	5.9	normal
1.3	3.0	5.2	botnet
5.0	9.6	7.8	normal
0.0	8.7	0.8	normal
8.9	8.1	2.3	normal
6.7	1.9	1.9	normal
1.6	5.4	1.6	normal
3.8	7.6	7.0	normal
9.5	9.3	6.2	botnet
5.9	8.9	3.2	botnet
1.4	3.2	3.5	botnet
9.1	4.5	3.8	botnet
8.6	7.5	7.2	botnet
3.9	0.4	7.6	botnet
4.4	0.6	2.4	botnet
4.9	6.5	1.3	botnet
6.9	4.1	7.7	botnet
4.2	2.9	2.7	normal
